VirusTaxID,Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusNCBIResolved,ICTVRatified
903580,kenya bat coronavirus btky112,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903581,kenya bat coronavirus btky113,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681859,kenya bat coronavirus btky12,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681860,kenya bat coronavirus btky13,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681861,kenya bat coronavirus btky14,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681862,kenya bat coronavirus btky15,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681863,kenya bat coronavirus btky17,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681864,kenya bat coronavirus btky18,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681865,kenya bat coronavirus btky19,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681866,kenya bat coronavirus btky20,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681867,kenya bat coronavirus btky21,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681869,kenya bat coronavirus btky23,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681870,kenya bat coronavirus btky24,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681871,kenya bat coronavirus btky25,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681873,kenya bat coronavirus btky28,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681874,kenya bat coronavirus btky29,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681875,kenya bat coronavirus btky30,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681876,kenya bat coronavirus btky31,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
2042642,kenya bat coronavirus btky33/2006,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681878,kenya bat coronavirus btky34,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681879,kenya bat coronavirus btky35,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681880,kenya bat coronavirus btky36,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681881,kenya bat coronavirus btky37,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681882,kenya bat coronavirus btky39,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681883,kenya bat coronavirus btky40,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
681885,kenya bat coronavirus btky42,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903582,kenya bat coronavirus btky44,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903583,kenya bat coronavirus btky45,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903584,kenya bat coronavirus btky46,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903585,kenya bat coronavirus btky47,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903586,kenya bat coronavirus btky48,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903587,kenya bat coronavirus btky49,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903588,kenya bat coronavirus btky50,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903589,kenya bat coronavirus btky51,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903590,kenya bat coronavirus btky52,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903591,kenya bat coronavirus btky53,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903592,kenya bat coronavirus btky54,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903593,kenya bat coronavirus btky55,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903594,kenya bat coronavirus btky56,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903595,kenya bat coronavirus btky57,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903596,kenya bat coronavirus btky58,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903597,kenya bat coronavirus btky59,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903598,kenya bat coronavirus btky60,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
903599,kenya bat coronavirus btky61,NA,coronaviridae,nidovirales,pisoniviricetes,TRUE,FALSE
