Host,HostTaxID,HostNCBIResolved,HostGenus,HostFamily,HostOrder,HostClass,HostOriginal,HostSynonyms
calyptorhynchus funereus,302529,TRUE,calyptorhynchus,cacatuidae,psittaciformes,aves,Calyptorhynchus funereus,"NA"
calyptorhynchus lathami,986098,TRUE,calyptorhynchus,cacatuidae,psittaciformes,aves,Calyptorhynchus lathami,"NA"
camarhynchus pallidus,48878,TRUE,camarhynchus,thraupidae,passeriformes,aves,Camarhynchus pallidus,"NA"
camarhynchus parvulus,87175,TRUE,camarhynchus,thraupidae,passeriformes,aves,Camarhynchus parvulus,"NA"
camarhynchus psittacula,87178,TRUE,camarhynchus,thraupidae,passeriformes,aves,Camarhynchus psittacula,"NA"
camelus bactrianus,9837,TRUE,camelus,camelidae,artiodactyla,mammalia,Camelus bactrianus,"NA"
camelus bactrianus,NA,TRUE,camelus,camelidae,cetartiodactyla,mammalia,Camelus bactrianus,"NA"
camelus dromedarius,9838,TRUE,camelus,camelidae,artiodactyla,mammalia,Camelus dromedarius,"NA"
camelus dromedarius,NA,TRUE,camelus,camelidae,cetartiodactyla,mammalia,Camelus dromedarius,Camelus ferus
canis adustus,68723,TRUE,canis,canidae,carnivora,mammalia,Canis adustus,"NA"
canis adustus,NA,TRUE,canis,canidae,carnivora,mammalia,Canis adustus,"NA"
canis aureus,68724,TRUE,canis,canidae,carnivora,mammalia,Canis aureus,"NA"
canis aureus,NA,TRUE,canis,canidae,carnivora,mammalia,Canis aureus,"NA"
canis latrans,9614,TRUE,canis,canidae,carnivora,mammalia,Canis latrans,"NA"
canis latrans,NA,TRUE,canis,canidae,carnivora,mammalia,Canis latrans,"NA"
canis lupus,9612,TRUE,canis,canidae,carnivora,mammalia,Canis lupus,"NA"
canis lupus,9615,TRUE,canis,canidae,carnivora,mammalia,Canis lupus familiaris,"NA"
canis lupus,143281,TRUE,canis,canidae,carnivora,mammalia,Canis lupus baileyi,"NA"
canis lupus,286419,TRUE,canis,canidae,carnivora,mammalia,Canis lupus dingo,"NA"
canis lupus,425934,TRUE,canis,canidae,carnivora,mammalia,Canis lupus signatus,"NA"
canis lupus,443256,TRUE,canis,canidae,carnivora,mammalia,Canis lupus lupus,"NA"
canis lupus,NA,TRUE,canis,canidae,carnivora,mammalia,"Canis lupus familiaris, Canis lupus","NA"
canis lupus familiaris,NA,TRUE,canis,canidae,carnivora,mammalia,Canis familiaris,"Canis familiaris, Canis familiarus domesticus"
canis mesomelas,68725,TRUE,canis,canidae,carnivora,mammalia,Canis mesomelas,"NA"
canis mesomelas,NA,TRUE,canis,canidae,carnivora,mammalia,Canis mesomelas,"NA"
canis simensis,32534,TRUE,canis,canidae,carnivora,mammalia,Canis simensis,"NA"
canis simensis,NA,TRUE,canis,canidae,carnivora,mammalia,Canis simensis,"NA"
canthigaster rivulata,264151,TRUE,canthigaster,tetraodontidae,tetraodontiformes,actinopteri,Canthigaster rivulata,"NA"
