original,name,type,taxid,fuzzy,different
Sapovirus Hu/Pune/NIV117301/2011/India,Sapovirus Hu/Pune/NIV117301/2011/India,virus,1899086,false,false
SEN virus,SEN virus,virus,136966,false,false
Sewage derived gemygorvirus 1,Sewage derived gemygorvirus 1,virus,1985428,false,false
Simian-Human immunodeficiency virus,Simian immunodeficiency virus,virus,11723,true,true
Simian cytomegalovirus,Simian cytomegalovirus,virus,10364,false,false
Simian orthorubulavirus,Simian orthorubulavirus,virus,2560766,false,false
Simian retrovirus 4,Simian retrovirus 4,virus,723802,false,false
Smacovirus sp.,Smacovirus sp.,virus,2497865,false,false
Songling virus,Songling virus,virus,2795181,false,false
Sosuga pararubulavirus,Sosuga pararubulavirus,virus,2560773,false,false
Spondweni virus,Spondweni virus,virus,64318,false,false
Statovirus C1,Statovirus C1,virus,1964822,false,false
Statovirus sp.,Statovirus sp.,virus,2747383,false,false
Sudan ebolavirus,Sudan ebolavirus,virus,186540,false,false
Tahyna orthobunyavirus,Tahyna orthobunyavirus,virus,2560796,false,false
Tai Forest ebolavirus,Tai Forest ebolavirus,virus,186541,false,false
Tamdy virus,Tamdy virus,virus,1453410,false,false
Tamiami mammarenavirus,Tamiami mammarenavirus,virus,45223,false,false
Tataguine orthobunyavirus,Tataguine orthobunyavirus,virus,2560799,false,false
Tetnovirus 1,Tetnovirus 1,virus,870711,false,false
Tetnovirus 2,Tetnovirus 2,virus,870712,false,false
Thottopalayam thottimvirus,Thottopalayam thottimvirus,virus,2501370,false,false
Tioman pararubulavirus,Tioman pararubulavirus,virus,2560808,false,false
Tonate virus,Tonate virus,virus,60877,false,false
Torque teno like mini virus Isfahan,Torque teno like mini virus Isfahan,virus,662948,false,false
Torque teno midi virus,Torque teno midi virus,virus,432261,false,false
Torque teno midi virus 1,Torque teno midi virus 1,virus,687379,false,false
Torque teno midi virus 10,Torque teno midi virus 10,virus,2065051,false,false
Torque teno midi virus 11,Torque teno midi virus 11,virus,2065052,false,false
Torque teno midi virus 12,Torque teno midi virus 12,virus,2065053,false,false
Torque teno midi virus 13,Torque teno midi virus 13,virus,2065054,false,false
Torque teno midi virus 14,Torque teno midi virus 14,virus,2065055,false,false
Torque teno midi virus 15,Torque teno midi virus 15,virus,2065056,false,false
Torque teno midi virus 2,Torque teno midi virus 2,virus,687380,false,false
Torque teno midi virus 3,Torque teno midi virus 3,virus,2065044,false,false
Torque teno midi virus 4,Torque teno midi virus 4,virus,2065045,false,false
Torque teno midi virus 5,Torque teno midi virus 5,virus,2065046,false,false
Torque teno midi virus 6,Torque teno midi virus 6,virus,2065047,false,false
Torque teno midi virus 7,Torque teno midi virus 7,virus,2065048,false,false
Torque teno midi virus 8,Torque teno midi virus 8,virus,2065049,false,false
Torque teno midi virus 9,Torque teno midi virus 9,virus,2065050,false,false
Torque teno mini virus 1,Torque teno mini virus 1,virus,687369,false,false
Torque teno mini virus 10,Torque teno mini virus 10,virus,2065036,false,false
Torque teno mini virus 11,Torque teno mini virus 11,virus,2065037,false,false
Torque teno mini virus 12,Torque teno mini virus 12,virus,2065038,false,false
Torque teno mini virus 18,Torque teno mini virus 18,virus,1859149,false,false
Torque teno mini virus 2,Torque teno mini virus 2,virus,687370,false,false
Torque teno mini virus 3,Torque teno mini virus 3,virus,687371,false,false
Torque teno mini virus 4,Torque teno mini virus 4,virus,687372,false,false
Torque teno mini virus 5,Torque teno mini virus 5,virus,687373,false,false
Torque teno mini virus 6,Torque teno mini virus 6,virus,687374,false,false
Torque teno mini virus 7,Torque teno mini virus 7,virus,687375,false,false
Torque teno mini virus 8,Torque teno mini virus 8,virus,687376,false,false
Torque teno mini virus 9,Torque teno mini virus 9,virus,687377,false,false
Torque teno mini virus ALA22,Torque teno mini virus ALA22,virus,1535290,false,false
Torque teno mini virus ALH8,Torque teno mini virus ALH8,virus,1535291,false,false
Torque teno mini virus SHA,Torque teno mini virus SHA,virus,2057931,false,false
Torque teno mini virus SHB,Torque teno mini virus SHB,virus,2057932,false,false
Torque teno mini virus SHC,Torque teno mini virus SHC,virus,2057933,false,false
Torque teno virus 1,Torque teno virus 1,virus,687340,false,false
Torque teno virus 10,Torque teno virus 10,virus,687349,false,false
Torque teno virus 11,Torque teno virus 11,virus,687350,false,false
Torque teno virus 12,Torque teno virus 12,virus,687351,false,false
Torque teno virus 13,Torque teno virus 13,virus,687352,false,false
Torque teno virus 15,Torque teno virus 15,virus,687354,false,false
Torque teno virus 16,Torque teno virus 16,virus,687355,false,false
Torque teno virus 17,Torque teno virus 17,virus,687356,false,false
Torque teno virus 18,Torque teno virus 18,virus,687357,false,false
Torque teno virus 19,Torque teno virus 19,virus,687358,false,false
Torque teno virus 2,Torque teno virus 2,virus,687341,false,false
Torque teno virus 20,Torque teno virus 20,virus,687359,false,false
Torque teno virus 21,Torque teno virus 21,virus,687360,false,false
Torque teno virus 22,Torque teno virus 22,virus,687361,false,false
Torque teno virus 24,Torque teno virus 24,virus,687363,false,false
Torque teno virus 27,Torque teno virus 27,virus,687366,false,false
Torque teno virus 28,Torque teno virus 28,virus,687367,false,false
Torque teno virus 29,Torque teno virus 29,virus,687368,false,false
Torque teno virus 3,Torque teno virus 3,virus,687342,false,false
Torque teno virus 5,Torque teno virus 5,virus,687344,false,false
Torque teno virus 6,Torque teno virus 6,virus,687345,false,false
Torque teno virus 7,Torque teno virus 7,virus,687346,false,false
Torque teno virus 8,Torque teno virus 8,virus,687347,false,false
Torque teno virus 9,Torque teno virus 9,virus,687348,false,false
Trichomonas vaginalis virus,Trichomonas vaginalis virus,virus,29256,false,false
TTV-like mini virus,TTV-like mini virus,virus,93678,false,false
Tusavirus sp.,Tusavirus sp.,virus,1955201,false,false
uncultured Anellovirus,unclassified Anelloviridae,virus,363628,true,true
uncultured enterovirus,unclassified Enterovirus,virus,90010,true,true
uncultured Papillomavirus,unclassified Pipapillomavirus,virus,664731,true,true
uncultured phage,unclassified virophages,virus,552364,true,true
uncultured virus,unidentified virus,virus,1214906,true,true
unidentified circular ssDNA virus,unidentified circular ssDNA virus,virus,1862826,false,false
unidentified human adenovirus,unidentified human adenovirus,virus,1631195,false,false
unidentified human coronavirus,unidentified human coronavirus,virus,694448,false,false
unidentified virus,unidentified virus,virus,1214906,false,false
untyped Human adenovirus,untyped Human adenovirus,virus,315431,false,false
untyped human enterovirus,untyped human enterovirus,virus,235406,false,false
untyped Human Mastadenovirus,untyped Human Mastadenovirus,virus,1712394,false,false
Variola virus,Variola virus,virus,10255,false,false
Vientovirus,Vientovirus,virus,2732655,false,false
Virus NG10,Virus NG10,virus,745103,false,false
Virus NG11,Virus NG11,virus,745101,false,false
Virus NG18,Virus NG18,virus,745104,false,false
Virus NG19,Virus NG19,virus,745106,false,false
Virus NG4,Virus NG4,virus,745108,false,false
Virus NG5,Virus NG5,virus,745105,false,false
Virus NG7,Virus NG7,virus,745109,false,false
Virus PK1142,Virus PK1142,virus,745098,false,false
Virus PK1813,Virus PK1813,virus,745102,false,false
Virus PK2111,Virus PK2111,virus,745099,false,false
Virus PK2247,Virus PK2247,virus,745100,false,false
Virus TN1,Virus TN1,virus,745097,false,false
Wanowrie virus,Wanowrie virus,virus,2748252,false,false
Whataroa virus,Whataroa virus,virus,48543,false,false
Whitewater Arroyo mammarenavirus,Whitewater Arroyo mammarenavirus,virus,46919,false,false
Woolly monkey sarcoma virus,Woolly monkey sarcoma virus,virus,11970,false,false
Wuhan large pig roundworm virus,Wuhan large pig roundworm virus,virus,2152919,false,false
Wyeomyia orthobunyavirus,Wyeomyia orthobunyavirus,virus,273350,false,false
Zegla orthobunyavirus,Zegla orthobunyavirus,virus,2170060,false,false
Lonchophylla thomasi simplexvirus 1,Lonchophylla thomasi simplexvirus 1,virus,570424,false,false
Ashy storm petrel gyrovirus,Ashy storm petrel gyrovirus,virus,2249930,false,false
Capybara associated cyclovirus 1,Capybara associated cyclovirus 1,virus,2604905,false,false
Capybara associated smacovirus 1_cap1_104,Capybara associated smacovirus 1_cap1_104,virus,2585076,false,false
Capybara genomovirus 1,Capybara genomovirus 1,virus,2582936,false,false
Capybara genomovirus 10,Capybara genomovirus 10,virus,2582937,false,false
Capybara genomovirus 11,Capybara genomovirus 11,virus,2582938,false,false
Capybara genomovirus 12,Capybara genomovirus 12,virus,2582939,false,false
Capybara genomovirus 13,Capybara genomovirus 13,virus,2582940,false,false
Capybara genomovirus 2,Capybara genomovirus 2,virus,2582941,false,false
Capybara genomovirus 3,Capybara genomovirus 3,virus,2582942,false,false
Capybara genomovirus 4,Capybara genomovirus 4,virus,2582943,false,false
Capybara genomovirus 5,Capybara genomovirus 5,virus,2582944,false,false
Capybara genomovirus 6,Capybara genomovirus 6,virus,2582945,false,false
Capybara genomovirus 7,Capybara genomovirus 7,virus,2582946,false,false
Capybara genomovirus 8,Capybara genomovirus 8,virus,2582947,false,false
Capybara genomovirus 9,Capybara genomovirus 9,virus,2582948,false,false
Capybara virus 1_cap1_34,Capybara virus 1_cap1_34,virus,2585047,false,false
Capybara virus 10_cap1_55,Capybara virus 10_cap1_55,virus,2585037,false,false
Capybara virus 11_cap1_98,Capybara virus 11_cap1_98,virus,2585038,false,false
Capybara virus 12_cap1_103,Capybara virus 12_cap1_103,virus,2585039,false,false
Capybara virus 13_cap1_257,Capybara virus 13_cap1_257,virus,2585040,false,false
Capybara virus 14_cap1_266,Capybara virus 14_cap1_266,virus,2585041,false,false
Capybara virus 15_cap1_294,Capybara virus 15_cap1_294,virus,2585042,false,false
Capybara virus 16_cap1_305,Capybara virus 16_cap1_305,virus,2585043,false,false
Capybara virus 17_cap1_330,Capybara virus 17_cap1_330,virus,2585044,false,false
Capybara virus 18_cap1_371,Capybara virus 18_cap1_371,virus,2585045,false,false
Capybara virus 19_cap1_382,Capybara virus 19_cap1_382,virus,2585046,false,false
Capybara virus 2_cap1_255,Capybara virus 2_cap1_255,virus,2585058,false,false
Capybara virus 20_cap1_494,Capybara virus 20_cap1_494,virus,2585048,false,false
Capybara virus 21_cap1_506,Capybara virus 21_cap1_506,virus,2585049,false,false
Capybara virus 22_cap1_591,Capybara virus 22_cap1_591,virus,2585050,false,false
Capybara virus 23_cap1_803,Capybara virus 23_cap1_803,virus,2585051,false,false
Capybara virus 24_cap1_1774,Capybara virus 24_cap1_1774,virus,2585052,false,false
Capybara virus 25_cap1_1914,Capybara virus 25_cap1_1914,virus,2585053,false,false
Capybara virus 26_cap1_2125,Capybara virus 26_cap1_2125,virus,2585054,false,false
Capybara virus 27_cap1_2563,Capybara virus 27_cap1_2563,virus,2585055,false,false
Capybara virus 28_cap1_2580,Capybara virus 28_cap1_2580,virus,2585056,false,false
Capybara virus 29_cap3_1096,Capybara virus 29_cap3_1096,virus,2585057,false,false
Capybara virus 3_cap1_260,Capybara virus 3_cap1_260,virus,2585067,false,false
Capybara virus 30_cap3_1444,Capybara virus 30_cap3_1444,virus,2585059,false,false
Capybara virus 31_cap3_4029,Capybara virus 31_cap3_4029,virus,2585060,false,false
Capybara virus 32_cap3_4374,Capybara virus 32_cap3_4374,virus,2585061,false,false
Capybara virus 33_cap3_6684,Capybara virus 33_cap3_6684,virus,2585062,false,false
Capybara virus 34_cap3_7672,Capybara virus 34_cap3_7672,virus,2585063,false,false
Capybara virus 35_cap1_1079,Capybara virus 35_cap1_1079,virus,2585064,false,false
Capybara virus 36_cap1_42,Capybara virus 36_cap1_42,virus,2585065,false,false
Capybara virus 37_cap1_578,Capybara virus 37_cap1_578,virus,2585066,false,false
Capybara virus 4_cap1_390,Capybara virus 4_cap1_390,virus,2585068,false,false
Capybara virus 5_cap1_460,Capybara virus 5_cap1_460,virus,2585069,false,false
Capybara virus 6_cap1_1771,Capybara virus 6_cap1_1771,virus,2585070,false,false
Capybara virus 7_cap1_536,Capybara virus 7_cap1_536,virus,2585071,false,false
Capybara virus 8_cap1_36,Capybara virus 8_cap1_36,virus,2585072,false,false
Capybara virus 9_cap1_45,Capybara virus 9_cap1_45,virus,2585073,false,false
Huanan hylidae astrovirus,Huanan hylidae astrovirus,virus,2116330,false,false
Cupixi mammarenavirus,Cupixi mammarenavirus,virus,208899,false,false
African swine fever virus,African swine fever virus,virus,10497,false,false
Adenovirus PREDICT_AdV-52,Adenovirus PREDICT_AdV-52,virus,2710986,false,false
Paramyxovirus PREDICT_PMV-153,Paramyxovirus PREDICT_PMV-153,virus,2711070,false,false
Hynobius nebulosus virus,Hynobius nebulosus virus,virus,644635,false,false
Astrovirus black-naped monarch/Cambodia/2010,Astrovirus black-naped monarch/Cambodia/2010,virus,1752874,false,false
Bat Paramyxovirus Hyp_mon/CO2569/CON/2006,Bat Paramyxovirus Hyp_mon/CO2569/CON/2006,virus,1112621,false,false
Bat Paramyxovirus Hyp_mon/RCA-P15/RCA/2008,Bat Paramyxovirus Hyp_mon/RCA-P15/RCA/2008,virus,1112613,false,false
Bat Paramyxovirus Hyp_mon/RCA-P17/RCA/2008,Bat Paramyxovirus Hyp_mon/RCA-P17/RCA/2008,virus,1112614,false,false
Bat Paramyxovirus Hyp_mon/RCA-P18/RCA/2008,Bat Paramyxovirus Hyp_mon/RCA-P18/RCA/2008,virus,1112654,false,false
Hypsugo bat coronavirus HKU25,Hypsugo bat coronavirus HKU25,virus,2020423,false,false
Alphacoronavirus H.sav/L/Spain/2007,Alphacoronavirus H.sav/L/Spain/2007,virus,1076426,false,false
Betacoronavirus H.sav/Italy/206645-40/2011,Betacoronavirus H.sav/Italy/206645-40/2011,virus,1429868,false,false
Betacoronavirus H.sav/J/Spain/2007,Betacoronavirus H.sav/J/Spain/2007,virus,1076427,false,false
Hypsugo savii betaherpesvirus 1,Hypsugo savii betaherpesvirus 1,virus,1325386,false,false
Hypsugo savii rhabdovirus 1,Hypsugo savii rhabdovirus 1,virus,1272574,false,false
Hypsugopox virus,Hypsugopox virus,virus,2593995,false,false
Porcupine astrovirus Hb/LP077/Guangxi,Porcupine astrovirus Hb/LP077/Guangxi,virus,1524014,false,false
Porcupine astrovirus Hb/LP083/Guangxi,Porcupine astrovirus Hb/LP083/Guangxi,virus,1524015,false,false
Porcupine astrovirus Hb/LP084/Guangxi,Porcupine astrovirus Hb/LP084/Guangxi,virus,1524016,false,false
Porcupine astrovirus Hb/LP092/Guangxi,Porcupine astrovirus Hb/LP092/Guangxi,virus,1524017,false,false
Porcupine astrovirus Hb/LP102/Guangxi,Porcupine astrovirus Hb/LP102/Guangxi,virus,1524018,false,false
Bat astrovirus Ii/Guangxi/JY10/2007,Bat astrovirus Ii/Guangxi/JY10/2007,virus,627541,false,false
Bat astrovirus Ii/Guangxi/JY11/2007,Bat astrovirus Ii/Guangxi/JY11/2007,virus,627542,false,false
Bat astrovirus Ii/Guangxi/JY14/2007,Bat astrovirus Ii/Guangxi/JY14/2007,virus,627543,false,false
Ia io picornavirus 1,Ia io picornavirus 1,virus,1195279,false,false
Mamastrovirus 19,Mamastrovirus 19,virus,1239583,false,false
Paramyxovirus PREDICT_PMV-47,Paramyxovirus PREDICT_PMV-47,virus,1647247,false,false
Lacertid adenovirus 2,Lacertid adenovirus 2,virus,1743022,false,false
Lacerta monticola erythrocytic virus,Lacerta monticola erythrocytic virus,virus,930198,false,false
Lacerta monticola ranavirus,Lacerta monticola ranavirus,virus,1585657,false,false
Guangdong fish caecilians hepevirus,Guangdong fish caecilians hepevirus,virus,2116394,false,false
Guangdong fish caecilians picornavirus,Guangdong fish caecilians picornavirus,virus,2116180,false,false
Lizard paramyxovirus,Lizard paramyxovirus,virus,659373,false,false
Beaked whale circovirus,Beaked whale circovirus,virus,2598785,false,false
Sulawesi tortoise adenovirus 1,Sulawesi tortoise adenovirus 1,virus,461347,false,false
Tortoise rafivirus A,Tortoise rafivirus A,virus,1483681,false,false
Indri pegivirus,Indri pegivirus,virus,2490444,false,false
Torque teno indri virus 1,Torque teno indri virus 1,virus,2010248,false,false
Isatis caulimovirus A,Isatis caulimovirus A,virus,2593976,false,false
Bandicoot papillomatosis carcinomatosis virus type 2,Bandicoot papillomatosis carcinomatosis virus type 2,virus,500654,false,false
Avipoxvirus isolate Illinois,Avipoxvirus isolate Illinois,virus,1294101,false,false
Zhejiang banded bullfrog picornavirus,Zhejiang banded bullfrog picornavirus,virus,2116196,false,false
Kerivoula titania coronavirus,Kerivoula titania coronavirus,virus,1881087,false,false
Myotis latirostis coronavirus,Myotis latirostis coronavirus,virus,1881089,false,false
Macavirus strain Wasserbock241/DEU/2007,Macavirus strain Wasserbock241/DEU/2007,virus,884667,false,false
Kogiid herpesvirus 2,Kogiid herpesvirus 2,virus,2212649,false,false
Kogiid herpesvirus 3,Kogiid herpesvirus 3,virus,2212650,false,false
Dolphin rhabdovirus,Dolphin rhabdovirus,virus,1511639,false,false
Lagenorhynchus alphaherpesvirus 1,Lagenorhynchus alphaherpesvirus 1,virus,1232896,false,false
Woolly monkey hepatitis B virus,Woolly monkey hepatitis B virus,virus,68416,false,false
Lagothrix lagotricha Lymphocryptovirus 1,Lagothrix lagotricha Lymphocryptovirus 1,virus,1093781,false,false
Llama faeces associated circular DNA virus-1,Llama faeces associated circular DNA virus-1,virus,1843771,false,false
Snake atadenovirus A,Snake atadenovirus A,virus,1146872,false,false
Baku virus,Baku virus,virus,1484571,false,false
Caspiy virus,Caspiy virus,virus,1453405,false,false
Gull adenovirus,Gull adenovirus,virus,1306817,false,false
Gull coronavirus,Gull coronavirus,virus,2605444,false,false
Gull metapneumovirus,Gull metapneumovirus,virus,2605443,false,false
Gull papillomavirus 2,Gull papillomavirus 2,virus,2562548,false,false
Gull papillomavirus 1,Gull papillomavirus 1,virus,2562547,false,false
Gull papillomavirus 3,Gull papillomavirus 3,virus,2562549,false,false
Topografov hantavirus,Topografov hantavirus,virus,83192,false,false
Arenavirus Lemniscomys/F4-8/TZA/2008,Arenavirus Lemniscomys/F4-8/TZA/2008,virus,913012,false,false
Gordil phlebovirus,Gordil phlebovirus,virus,2734449,false,false
Lemur associated porprismacovirus 1,Lemur associated porprismacovirus 1,virus,2170115,false,false
Lesavirus 1,Lesavirus 1,virus,1603963,false,false
Ring tailer lemur adenovirus,Ring tailer lemur adenovirus,virus,2301517,false,false
Golden-headed lion tamarin adenovirus,Golden-headed lion tamarin adenovirus,virus,2301504,false,false
Leontopithecus rosalia lymphocryptovirus 1,Leontopithecus rosalia lymphocryptovirus 1,virus,291838,false,false
Picobirnavirus geoffroys_cat/URU-01/2009,Picobirnavirus geoffroys_cat/URU-01/2009,virus,1068740,false,false
Feline morbillivirus,Feline morbillivirus,virus,1170234,false,false
Feline paramyxovirus,Feline paramyxovirus,virus,2739235,false,false
Leopardus pardalis gammaherpesvirus 1,Leopardus pardalis gammaherpesvirus 1,virus,1706830,false,false
Torque teno ocelot virus,Torque teno ocelot virus,virus,2579707,false,false
Leopardus wiedii papillomavirus type 1,Leopardus wiedii papillomavirus type 1,virus,2495531,false,false
Hainan leptobrachium hainanense astrovirus,Hainan leptobrachium hainanense astrovirus,virus,2116140,false,false
Leptonychotes weddellii papillomavirus 1,Leptonychotes weddellii papillomavirus 1,virus,2077302,false,false
Leptonychotes weddellii papillomavirus 2,Leptonychotes weddellii papillomavirus 2,virus,2077303,false,false
Leptonychotes weddellii papillomavirus 3,Leptonychotes weddellii papillomavirus 3,virus,2077304,false,false
Leptonychotes weddellii papillomavirus 4,Leptonychotes weddellii papillomavirus 4,virus,2077305,false,false
Leptonychotes weddellii papillomavirus 5,Leptonychotes weddellii papillomavirus 5,virus,2077306,false,false
Leptonychotes weddellii papillomavirus 6,Leptonychotes weddellii papillomavirus 6,virus,2077307,false,false
Leptonychotes weddellii papillomavirus 7,Leptonychotes weddellii papillomavirus 7,virus,2077308,false,false
Leptonychotes weddellii polyomavirus 1,Leptonychotes weddellii polyomavirus 1,virus,1925019,false,false
Torque teno Leptonychotes weddellii virus-2,Torque teno Leptonychotes weddellii virus-2,virus,2012677,false,false
Torque teno seal virus 8,Torque teno seal virus 8,virus,2560820,false,false
Werosea circovirus,Werosea circovirus,virus,2682467,false,false
Avipoxvirus ID2757,Avipoxvirus ID2757,virus,1047198,false,false
Lepus americanus faeces associated genomovirus SHP11,Lepus americanus faeces associated genomovirus SHP11,virus,2219117,false,false
Lepus americanus faeces associated genomovirus SHP111,Lepus americanus faeces associated genomovirus SHP111,virus,2219118,false,false
Lepus americanus faeces associated genomovirus SHP216,Lepus americanus faeces associated genomovirus SHP216,virus,2219119,false,false
Lepus americanus faeces associated genomovirus SHP7,Lepus americanus faeces associated genomovirus SHP7,virus,2219120,false,false
Lepus americanus faeces associated genomovirus SHP9,Lepus americanus faeces associated genomovirus SHP9,virus,2219121,false,false
Snowshoe hare orthobunyavirus,Snowshoe hare orthobunyavirus,virus,2560767,false,false
Rabbit fibroma virus,Rabbit fibroma virus,virus,10271,false,false
Hare calicivirus,Hare calicivirus,virus,1743398,false,false
European brown hare syndrome virus,European brown hare syndrome virus,virus,33756,false,false
Hare calicivirus Australia-1,Hare calicivirus Australia-1,virus,2569936,false,false
Hare calicivirus Australia-2,Hare calicivirus Australia-2,virus,2569937,false,false
Hare calicivirus Australia-3,Hare calicivirus Australia-3,virus,2569938,false,false
Myxoma virus,Myxoma virus,virus,10273,false,false
Porcine stool-associated circular virus,Porcine stool-associated circular virus,virus,1843773,false,false
Coronavirus Hare_CoV/La06_377/Lep_gra/ESP/2006,Coronavirus Hare_CoV/La06_377/Lep_gra/ESP/2006,virus,1679873,false,false
Coronavirus Hare_CoV/La06_378/Lep_gra/ESP/2006,Coronavirus Hare_CoV/La06_378/Lep_gra/ESP/2006,virus,1679874,false,false
Coronavirus Hare_CoV/La06_379/Lep_gra/ESP/2006,Coronavirus Hare_CoV/La06_379/Lep_gra/ESP/2006,virus,1679875,false,false
Coronavirus Hare_CoV/La06_380/Lep_gra/ESP/2006,Coronavirus Hare_CoV/La06_380/Lep_gra/ESP/2006,virus,1679876,false,false
Coronavirus Hare_CoV/La06_382/Lep_gra/ESP/2006,Coronavirus Hare_CoV/La06_382/Lep_gra/ESP/2006,virus,1679877,false,false
Coronavirus Hare_CoV/La06_383/Lep_gra/ESP/2006,Coronavirus Hare_CoV/La06_383/Lep_gra/ESP/2006,virus,1679878,false,false
Coronavirus Hare_CoV/La08_60/Lep_gra/ESP/2008,Coronavirus Hare_CoV/La08_60/Lep_gra/ESP/2008,virus,1679879,false,false
Coronavirus Hare_CoV/La08_96/Lep_gra/ESP/2008,Coronavirus Hare_CoV/La08_96/Lep_gra/ESP/2008,virus,1679880,false,false
Coronavirus Hare_CoV/La08_99/Lep_gra/ESP/2008,Coronavirus Hare_CoV/La08_99/Lep_gra/ESP/2008,virus,1679881,false,false
Leporid gammaherpesvirus 5,Leporid gammaherpesvirus 5,virus,2729004,false,false
Lepus polyomavirus 1,Lepus polyomavirus 1,virus,2716316,false,false
Lepus torque teno virus 1,Lepus torque teno virus 1,virus,2716318,false,false
Lepus torque teno virus 2,Lepus torque teno virus 2,virus,2716319,false,false
Tomato yellow spot virus,Tomato yellow spot virus,virus,365523,false,false
Leucas zeylanica yellow vein virus satellite DNA beta,Leucas zeylanica yellow vein virus satellite DNA beta,virus,670251,false,false
Avipoxvirus isolate Montana,Avipoxvirus isolate Montana,virus,1294107,false,false
Adenovirus PREDICT_AdV-61,Adenovirus PREDICT_AdV-61,virus,2710994,false,false
Coronavirus PREDICT CoV-66,Coronavirus PREDICT CoV-66,virus,2042590,false,false
Kasama virus,Kasama virus,virus,2755161,false,false
Ampivirus A,Ampivirus A,virus,1986960,false,false
Livupivirus A,Livupivirus A,virus,1926511,false,false
Rana catesbeiana virus,Rana catesbeiana virus,virus,1380865,false,false
Rana catesbeiana virus 2,Rana catesbeiana virus 2,virus,2026840,false,false
Rana catesbeiana virus JP,Rana catesbeiana virus JP,virus,587199,false,false
Rana catesbeiana virus TW07-440,Rana catesbeiana virus TW07-440,virus,566307,false,false
Ranavirus sp. RRM-2005,Ranavirus sp. RRM-2005,virus,310386,false,false
Uruguayan bullfrog tadpole virus,Uruguayan bullfrog tadpole virus,virus,288917,false,false
Ranid herpesvirus 1,Ranid herpesvirus 1,virus,85655,false,false
Ranid herpesvirus 2,Ranid herpesvirus 2,virus,389214,false,false
Australian treefrog circovirus,Australian treefrog circovirus,virus,1494921,false,false
Ranavirus sp.,Ranavirus sp.,virus,1884660,false,false
Mahaffey road virus,Mahaffey road virus,virus,934028,false,false
Coronavirus Mex_CoV-3,Coronavirus Mex_CoV-3,virus,1289548,false,false
Lonchura maja polyomavirus 1,Lonchura maja polyomavirus 1,virus,2169904,false,false
Lophocebus albigena lymphocrytovirus 1,Lophocebus albigena lymphocrytovirus 1,virus,291842,false,false
Lophocebus aterrimus adenovirus,Lophocebus aterrimus adenovirus,virus,1916697,false,false
Lophocebus aterrimus lymphocryptovirus 1,Lophocebus aterrimus lymphocryptovirus 1,virus,987113,false,false
Jeilongvirus sp.,Jeilongvirus sp.,virus,2686070,false,false
Lophuromys jeilongvirus 1,Lophuromys jeilongvirus 1,virus,2560563,false,false
Lophuromys jeilongvirus 2,Lophuromys jeilongvirus 2,virus,2560564,false,false
Adenovirus PREDICT_AdV-24,Adenovirus PREDICT_AdV-24,virus,2710958,false,false
Mastadenovirus sp. CMR-5173,Mastadenovirus sp. CMR-5173,virus,2592013,false,false
Mastadenovirus sp. CMR-5476,Mastadenovirus sp. CMR-5476,virus,2592023,false,false
Mastadenovirus sp. CMR-5478,Mastadenovirus sp. CMR-5478,virus,2592024,false,false
Mastadenovirus sp. CMR-5492,Mastadenovirus sp. CMR-5492,virus,2592026,false,false
Mastadenovirus sp. CMR-5493,Mastadenovirus sp. CMR-5493,virus,2592027,false,false
Mastadenovirus sp. CMR-5812,Mastadenovirus sp. CMR-5812,virus,2592031,false,false
Mastadenovirus sp. CMR-5922,Mastadenovirus sp. CMR-5922,virus,2592032,false,false
Paramyxovirus PREDICT_PMV-160,Paramyxovirus PREDICT_PMV-160,virus,2711076,false,false
Adenovirus PREDICT_AdV-17,Adenovirus PREDICT_AdV-17,virus,2710950,false,false
Hepatovirus E,Hepatovirus E,virus,1987126,false,false
Avipoxvirus ID8926,Avipoxvirus ID8926,virus,1047200,false,false
Elephant endotheliotropic herpesvirus 2,Elephant endotheliotropic herpesvirus 2,virus,759755,false,false
Elephant endotheliotropic herpesvirus 6,Elephant endotheliotropic herpesvirus 6,virus,768739,false,false
Elephant endotheliotropic herpesvirus 7,Elephant endotheliotropic herpesvirus 7,virus,1166470,false,false
Elephant gammaherpesvirus 1B,Elephant gammaherpesvirus 1B,virus,1325581,false,false
Elephant gammaherpesvirus 3B,Elephant gammaherpesvirus 3B,virus,768743,false,false
Elephant gammaherpesvirus 4,Elephant gammaherpesvirus 4,virus,1806069,false,false
Elephantid herpesvirus 6,Elephantid herpesvirus 6,virus,439203,false,false
Loxodonta africana polyomavirus 1,Loxodonta africana polyomavirus 1,virus,1891766,false,false
Lunovirus,Lunovirus,virus,1634490,false,false
Lutrine adenovirus type 1,Lutrine adenovirus type 1,virus,2023343,false,false
Morbillivirus sp.,Morbillivirus sp.,virus,2078987,false,false
Otter fecal bunyavirus,Otter fecal bunyavirus,virus,1504566,false,false
Canid herpesvirus 2,Canid herpesvirus 2,virus,1288357,false,false
Lycalopex gymnocercus torque teno virus 1,Lycalopex gymnocercus torque teno virus 1,virus,2751163,false,false
Lycalopex gymnocercus torque teno virus 2,Lycalopex gymnocercus torque teno virus 2,virus,2751164,false,false
Guangdong red-banded snake chuvirus-like virus,Guangdong red-banded snake chuvirus-like virus,virus,2116490,false,false
Guangdong red-banded snake picornavirus,Guangdong red-banded snake picornavirus,virus,2116181,false,false
Guangdong red-banded snake torovirus,Guangdong red-banded snake torovirus,virus,2116384,false,false
