VirusTaxID,Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusNCBIResolved,ICTVRatified
3115953,adomavirus bathybates18303,,,,,TRUE,FALSE
3115954,adomavirus betta17154,,,,,TRUE,FALSE
3115955,adomavirus betta17237,,,,,TRUE,FALSE
3115956,adomavirus canis16400,,,,,TRUE,FALSE
3115957,adomavirus collichthys12339,,,,,TRUE,FALSE
3115960,adomavirus gasterosteus5335,,,,,TRUE,FALSE
3115962,adomavirus lamprologus10568,,,,,TRUE,FALSE
3115963,adomavirus lamprologus11189,,,,,TRUE,FALSE
3115964,adomavirus lamprologus17466,,,,,TRUE,FALSE
3115965,adomavirus lateolabrax18909,,,,,TRUE,FALSE
3115974,adomavirus perssodus17181,,,,,TRUE,FALSE
3115975,adomavirus podarcis19746,,,,,TRUE,FALSE
3115976,adomavirus pseudosimochromis17096,,,,,TRUE,FALSE
3115977,adomavirus rhinatrema5629,,,,,TRUE,FALSE
3115978,adomavirus sceloporus8187,,,,,TRUE,FALSE
3115979,adomavirus sparus16001,,,,,TRUE,FALSE
3115980,adomavirus sparus16130,,,,,TRUE,FALSE
2794464,aegithalos caudatus parvoviridae sp.,,parvoviridae,piccovirales,quintoviricetes,TRUE,FALSE
2934317,aershan mammarenavirus,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,TRUE,FALSE
1390981,aesopia cornuta ranavirus,ranavirus,iridoviridae,pimascovirales,megaviricetes,TRUE,FALSE
2976373,aethomys kaiseri betaherpesvirus,,orthoherpesviridae,herpesvirales,herviviricetes,TRUE,FALSE
3141853,aethomys rat astrovirus,,astroviridae,stellavirales,stelpaviricetes,TRUE,FALSE
3141854,aethomys rat picornavirus,,,picornavirales,pisoniviricetes,TRUE,FALSE
3004156,african cichlid flavi-like virus,,flaviviridae,amarillovirales,flasuviricetes,TRUE,FALSE
3065072,african cichlid flavivirus,orthoflavivirus,flaviviridae,amarillovirales,flasuviricetes,TRUE,FALSE
1862821,african cichlid hepadnavirus,,hepadnaviridae,blubervirales,revtraviricetes,TRUE,FALSE
3065073,african cichlid hepevirus,hepevirus,hepeviridae,hepelivirales,alsuviricetes,TRUE,FALSE
2497433,african cichlid nackednavirus,,,ortervirales,revtraviricetes,TRUE,FALSE
3065050,african cichlid nackednavirus 2,,,ortervirales,revtraviricetes,TRUE,FALSE
3065074,african cichlid picornavirus,,picornaviridae,picornavirales,pisoniviricetes,TRUE,FALSE
3065075,african cichlid piscichuvirus,piscichuvirus,chuviridae,jingchuvirales,monjiviricetes,TRUE,FALSE
12480,african green monkey polyomavirus,,polyomaviridae,sepolyvirales,papovaviricetes,TRUE,FALSE
338079,african green monkey simian foamy virus,spumavirus,retroviridae,ortervirales,revtraviricetes,TRUE,FALSE
3239073,african green monkey-like simian foamy virus,spumavirus,retroviridae,ortervirales,revtraviricetes,TRUE,FALSE
