Host_Intermediate,Host,taxid,HostFamily,HostOrder,HostClass
Cacatua tenuirostris,Cacatua tenuirostris,1344800,Cacatuidae,Psittaciformes,Dipnotetrapodomorpha
Callocephalon fimbriatum,Callocephalon fimbriatum,986101,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Calyptorhynchus banksii,Calyptorhynchus banksii,35551,Cacatuidae,Psittaciformes,Dipnotetrapodomorpha
Calyptorhynchus funereus,Calyptorhynchus funereus,302529,Cacatuidae,Psittaciformes,Dipnotetrapodomorpha
Calyptorhynchus lathami,Calyptorhynchus lathami,986098,Cacatuidae,Psittaciformes,Dipnotetrapodomorpha
Charmosyna josefinae,Charmosyna josefinae,1548965,Psittaculidae,Psittaciformes,Dipnotetrapodomorpha
Coracopsis vasa,Coracopsis vasa,176022,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Cyanoliseus patagonus,Cyanoliseus patagonus,309862,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Cyanopsitta spixii,Cyanopsitta spixii,51902,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Cyanoramphus auriceps,Cyanoramphus auriceps,114432,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Cyanoramphus novaezelandiae,Cyanoramphus novaezelandiae,114435,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Cyanoramphus unicolor,Cyanoramphus unicolor,114440,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Deroptyus accipitrinus,Deroptyus accipitrinus,51904,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Diopsittaca nobilis,Diopsittaca nobilis,178888,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Eclectus roratus,Eclectus roratus,176024,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Enicognathus leptorhynchus,Enicognathus leptorhynchus,345190,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Eolophus roseicapilla,Eolophus roseicapilla,176039,Cacatuidae,Psittaciformes,Dipnotetrapodomorpha
Eos bornea,Eos bornea,274060,Psittaculidae,Psittaciformes,Dipnotetrapodomorpha
Eos cyanogenia,Eos cyanogenia,176064,Psittaculidae,Psittaciformes,Dipnotetrapodomorpha
Eos reticulata,Eos reticulata,176075,Psittaculidae,Psittaciformes,Dipnotetrapodomorpha
Eunymphicus cornutus,Eunymphicus cornutus,119403,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Eupsittula aurea,Eupsittula aurea,51898,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Eupsittula canicularis,Eupsittula canicularis,752200,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Eupsittula pertinax,Eupsittula pertinax,492513,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Forpus coelestis,Forpus coelestis,309844,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Forpus passerinus,Forpus passerinus,69957,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Forpus xanthopterygius,Forpus xanthopterygius,345187,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Glossopsitta concinna,Glossopsitta concinna,176041,Psittaculidae,Psittaciformes,Dipnotetrapodomorpha
Glossopsitta porphyrocephala,Parvipsitta porphyrocephala,503988,Psittaculidae,Psittaciformes,Dipnotetrapodomorpha
Guaruba guarouba,Guaruba guarouba,51906,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Lathamus discolor,Lathamus discolor,678569,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Lorius chlorocercus,Lorius chlorocercus,471714,Psittaculidae,Psittaciformes,Dipnotetrapodomorpha
Lorius lory,Lorius lory,274062,Psittaculidae,Psittaciformes,Dipnotetrapodomorpha
Melopsittacus undulatus,Melopsittacus undulatus,13146,Psittaculidae,Psittaciformes,Dipnotetrapodomorpha
Myiopsitta monachus,Myiopsitta monachus,176066,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Neophema chrysogaster,Neophema chrysogaster,678581,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Neophema elegans,Neophema elegans,85098,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Neophema pulchella,Neophema pulchella,678582,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Neopsephotus bourkii,Neopsephotus bourkii,309878,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Nestor notabilis,Nestor notabilis,176057,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Northiella haematogaster,Northiella haematogaster,504065,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Nymphicus hollandicus,Nymphicus hollandicus,13180,Cacatuidae,Psittaciformes,Dipnotetrapodomorpha
Pionites leucogaster,Pionites leucogaster,345186,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Pionites melanocephalus,Pionites melanocephalus,309866,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Pionopsitta pileata,Pionopsitta pileata,285233,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Pionus chalcopterus,Pionus chalcopterus,151768,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Pionus fuscus,Pionus fuscus,303320,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Pionus maximiliani,Pionus maximiliani,303305,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Pionus menstruus,Pionus menstruus,13214,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Platycercus elegans,Platycercus elegans,269190,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Platycercus eximius,Platycercus eximius,141282,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Platycercus venustus,Platycercus venustus,471715,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Poicephalus cryptoxanthus,Poicephalus cryptoxanthus,234075,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Poicephalus gulielmi,Poicephalus gulielmi,241588,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Poicephalus meyeri,Poicephalus meyeri,281916,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Poicephalus robustus,Poicephalus robustus,190152,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Poicephalus rueppellii,Poicephalus rueppellii,1549155,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Poicephalus rufiventris,Poicephalus rufiventris,523728,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Poicephalus senegalus,Poicephalus senegalus,176045,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Polytelis anthopeplus,Polytelis anthopeplus,35545,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Polytelis swainsonii,Polytelis swainsonii,1288897,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Primolius auricollis,Primolius auricollis,178892,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Primolius maracana,Primolius maracana,178894,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Probosciger aterrimus,Probosciger aterrimus,141839,Cacatuidae,Psittaciformes,Dipnotetrapodomorpha
Psephotus haematonotus,Psephotus haematonotus,176047,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Psittacara acuticaudatus,Thectocercus acuticaudatus,211510,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Psittacara erythrogenys,Psittacara erythrogenys,12946,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Psittacara finschi,Psittacara finschi,867388,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Psittacara leucophthalmus,Psittacara leucophthalmus,178885,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Psittacula alexandri,Psittacula alexandri,232635,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Psittacula columboides,Psittacula columboides,232642,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Psittacula cyanocephala,Psittacula cyanocephala,232645,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Psittacula derbiana,Psittacula derbiana,57074,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Psittacula echo,Psittacula echo,232653,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Psittacula eupatria,Psittacula eupatria,232655,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Psittacula krameri,Psittacula krameri,9228,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Psittaculirostris edwardsii,Psittaculirostris edwardsii,274071,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Psittacus erithacus,Psittacus erithacus,57247,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Psitteuteles goldiei,Psitteuteles goldiei,176074,Psittaculidae,Psittaciformes,Dipnotetrapodomorpha
Purpureicephalus spurius,Purpureicephalus spurius,336387,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Pyrilia barrabandi,Pyrilia barrabandi,285230,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Pyrrhura cruentata,Pyrrhura cruentata,311901,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Pyrrhura molinae,Pyrrhura molinae,311895,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Pyrrhura perlata,Pyrrhura perlata,311897,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Strigops habroptila,Strigops habroptila,2489341,Psittacidae,Psittaciformes,Dipnotetrapodomorpha
Trichoglossus chlorolepidotus,Trichoglossus chlorolepidotus,585473,Psittaculidae,Psittaciformes,Dipnotetrapodomorpha
Trichoglossus euteles,Trichoglossus euteles,274059,Psittaculidae,Psittaciformes,Dipnotetrapodomorpha
Trichoglossus forsteni,Trichoglossus forsteni,1549215,Psittaculidae,Psittaciformes,Dipnotetrapodomorpha
Trichoglossus haematodus,Trichoglossus haematodus,176049,Psittaculidae,Psittaciformes,Dipnotetrapodomorpha
Trichoglossus rubritorquis,Trichoglossus rubritorquis,1525648,Psittaculidae,Psittaciformes,Dipnotetrapodomorpha
Rhea americana,Rhea americana,8797,Rheidae,Rheiformes,Dipnotetrapodomorpha
Rhea pennata,Rhea pennata,8795,Rheidae,Rheiformes,Dipnotetrapodomorpha
Aptenodytes forsteri,Aptenodytes forsteri,9233,Spheniscidae,Sphenisciformes,Dipnotetrapodomorpha
Aptenodytes patagonicus,Aptenodytes patagonicus,9234,Spheniscidae,Sphenisciformes,Dipnotetrapodomorpha
Eudyptes chrysocome,Eudyptes chrysocome,79626,Spheniscidae,Sphenisciformes,Dipnotetrapodomorpha
Eudyptes chrysolophus,Eudyptes chrysolophus,79627,Spheniscidae,Sphenisciformes,Dipnotetrapodomorpha
Eudyptula minor,Eudyptula minor,37083,Spheniscidae,Sphenisciformes,Dipnotetrapodomorpha
Pygoscelis adeliae,Pygoscelis adeliae,9238,Spheniscidae,Sphenisciformes,Dipnotetrapodomorpha
Pygoscelis antarcticus,Pygoscelis antarcticus,79643,Spheniscidae,Sphenisciformes,Dipnotetrapodomorpha
Pygoscelis papua,Pygoscelis papua,30457,Spheniscidae,Sphenisciformes,Dipnotetrapodomorpha
Spheniscus demersus,Spheniscus demersus,92683,Spheniscidae,Sphenisciformes,Dipnotetrapodomorpha
Spheniscus humboldti,Spheniscus humboldti,9240,Spheniscidae,Sphenisciformes,Dipnotetrapodomorpha
Spheniscus magellanicus,Spheniscus magellanicus,37081,Spheniscidae,Sphenisciformes,Dipnotetrapodomorpha
Aegolius acadicus,Aegolius acadicus,56265,Strigidae,Strigiformes,Dipnotetrapodomorpha
Aegolius funereus,Aegolius funereus,103375,Strigidae,Strigiformes,Dipnotetrapodomorpha
Asio flammeus,Asio flammeus,56267,Strigidae,Strigiformes,Dipnotetrapodomorpha
Asio otus,Asio otus,111810,Strigidae,Strigiformes,Dipnotetrapodomorpha
Athene noctua,Athene noctua,126797,Strigidae,Strigiformes,Dipnotetrapodomorpha
Bubo bubo,Bubo bubo,30461,Strigidae,Strigiformes,Dipnotetrapodomorpha
Bubo lacteus,Bubo lacteus,126804,Strigidae,Strigiformes,Dipnotetrapodomorpha
Bubo scandiacus,Bubo scandiacus,371907,Strigidae,Strigiformes,Dipnotetrapodomorpha
Bubo virginianus,Bubo virginianus,56268,Strigidae,Strigiformes,Dipnotetrapodomorpha
Glaucidium brasilianum,Glaucidium brasilianum,78217,Strigidae,Strigiformes,Dipnotetrapodomorpha
Glaucidium passerinum,Glaucidium passerinum,121724,Strigidae,Strigiformes,Dipnotetrapodomorpha
Megascops asio,Megascops asio,81905,Strigidae,Strigiformes,Dipnotetrapodomorpha
Megascops choliba,Megascops choliba,507958,Strigidae,Strigiformes,Dipnotetrapodomorpha
Ninox connivens,Ninox connivens,79238,Strigidae,Strigiformes,Dipnotetrapodomorpha
Ninox scutulata,Ninox scutulata,126857,Strigidae,Strigiformes,Dipnotetrapodomorpha
Ninox strenua,Ninox strenua,73883,Strigidae,Strigiformes,Dipnotetrapodomorpha
Otus scops,Otus scops,126827,Strigidae,Strigiformes,Dipnotetrapodomorpha
Pseudoscops clamator,Pseudoscops clamator,555335,Strigidae,Strigiformes,Dipnotetrapodomorpha
Strix aluco,Strix aluco,111821,Strigidae,Strigiformes,Dipnotetrapodomorpha
Strix nebulosa,Strix nebulosa,126836,Strigidae,Strigiformes,Dipnotetrapodomorpha
Strix occidentalis,Strix occidentalis,201991,Strigidae,Strigiformes,Dipnotetrapodomorpha
Strix uralensis,Strix uralensis,36305,Strigidae,Strigiformes,Dipnotetrapodomorpha
Strix varia,Strix varia,57075,Strigidae,Strigiformes,Dipnotetrapodomorpha
Surnia ulula,Surnia ulula,69940,Strigidae,Strigiformes,Dipnotetrapodomorpha
Tyto alba,Tyto alba,56313,Tytonidae,Strigiformes,Dipnotetrapodomorpha
Struthio camelus,Struthio camelus,8801,Struthionidae,Struthioniformes,Dipnotetrapodomorpha
Anhinga anhinga,Anhinga anhinga,56067,Anhingidae,Pelecaniformes,Dipnotetrapodomorpha
Anhinga melanogaster,Anhinga melanogaster,2039642,Anhingidae,Pelecaniformes,Dipnotetrapodomorpha
Anhinga rufa,Anhinga rufa,317792,Anhingidae,Pelecaniformes,Dipnotetrapodomorpha
Fregata andrewsi,Fregata andrewsi,244444,Fregatidae,Pelecaniformes,Dipnotetrapodomorpha
Fregata minor,Fregata minor,57241,Fregatidae,Pelecaniformes,Dipnotetrapodomorpha
Microcarbo melanoleucos,Microcarbo melanoleucos,146618,Phalacrocoracidae,Pelecaniformes,Dipnotetrapodomorpha
Mora moro,Mora moro,248765,Moridae,Gadiformes,Actinopteri
Phalacrocorax sulcirostris,Phalacrocorax sulcirostris,9210,Phalacrocoracidae,Pelecaniformes,Dipnotetrapodomorpha
Sula dactylatra,Sula dactylatra,56068,Sulidae,Pelecaniformes,Dipnotetrapodomorpha
Sula sula,Sula sula,57662,Sulidae,Pelecaniformes,Dipnotetrapodomorpha
Trogon viridis,Trogon viridis,59419,Trogonidae,Trogoniformes,Dipnotetrapodomorpha
Petromyzon marinus,Petromyzon marinus,7757,Petromyzontidae,Petromyzontiformes,Hyperoartia
Apristurus laurussonii,Apristurus laurussonii,164746,Scyliorhinidae,Carcharhiniformes,Chondrichthyes
Carcharhinus amboinensis,Carcharhinus amboinensis,398260,Carcharhinidae,Carcharhiniformes,Chondrichthyes
Carcharhinus brevipinna,Carcharhinus brevipinna,263685,Carcharhinidae,Carcharhiniformes,Chondrichthyes
Carcharhinus dussumieri,Carcharhinus dussumieri,335035,Carcharhinidae,Carcharhiniformes,Chondrichthyes
Carcharhinus leucas,Carcharhinus leucas,46612,Carcharhinidae,Carcharhiniformes,Chondrichthyes
Carcharhinus limbatus,Carcharhinus limbatus,61865,Carcharhinidae,Carcharhiniformes,Chondrichthyes
Carcharhinus longimanus,Carcharhinus longimanus,302049,Carcharhinidae,Carcharhiniformes,Chondrichthyes
Carcharhinus plumbeus,Carcharhinus plumbeus,7808,Carcharhinidae,Carcharhiniformes,Chondrichthyes
Carcharhinus sorrah,Carcharhinus sorrah,280671,Carcharhinidae,Carcharhiniformes,Chondrichthyes
Iago omanensis,Iago omanensis,376632,Triakidae,Carcharhiniformes,Chondrichthyes
Negaprion brevirostris,Negaprion brevirostris,7821,Carcharhinidae,Carcharhiniformes,Chondrichthyes
Prionace glauca,Prionace glauca,7815,Carcharhinidae,Carcharhiniformes,Chondrichthyes
Sphyrna lewini,Sphyrna lewini,7823,Carcharhinidae,Carcharhiniformes,Chondrichthyes
Sphyrna mokarran,Sphyrna mokarran,195334,Carcharhinidae,Carcharhiniformes,Chondrichthyes
Sphyrna tiburo,Sphyrna tiburo,7824,Carcharhinidae,Carcharhiniformes,Chondrichthyes
Chimaera monstrosa,Chimaera monstrosa,7871,Chimaeridae,Chimaeriformes,Chondrichthyes
Heterodontus japonicus,Heterodontus japonicus,95544,Heterodontidae,Heterodontiformes,Chondrichthyes
Alopias pelagicus,Alopias pelagicus,57979,Alopiidae,Lamniformes,Chondrichthyes
Alopias superciliosus,Alopias superciliosus,57980,Alopiidae,Lamniformes,Chondrichthyes
Carcharodon carcharias,Carcharodon carcharias,13397,Alopiidae,Lamniformes,Chondrichthyes
Odontaspis ferox,Odontaspis ferox,57989,Odontaspididae,Lamniformes,Chondrichthyes
Dasyatis americana,Hypanus americanus,2484686,Dasyatidae,Myliobatiformes,Chondrichthyes
Dasyatis fluviorum,Hemitrygon fluviorum,2093254,Dasyatidae,Myliobatiformes,Chondrichthyes
Dasyatis microps,Dasyatis microps,529109,Dasyatidae,Myliobatiformes,Chondrichthyes
Dasyatis sabina,Hypanus sabinus,79690,Dasyatidae,Myliobatiformes,Chondrichthyes
Dasyatis say,Dasyatis say,543940,Dasyatidae,Myliobatiformes,Chondrichthyes
Dasyatis thetidis,Bathytoshia lata,2704969,Dasyatidae,Myliobatiformes,Chondrichthyes
Himantura chaophraya,Himantura chaophraya,87131,Dasyatidae,Myliobatiformes,Chondrichthyes
Himantura gerrardi,Maculabatis gerrardi,2599772,Dasyatidae,Myliobatiformes,Chondrichthyes
Himantura granulata,Urogymnus granulatus,2292668,Dasyatidae,Myliobatiformes,Chondrichthyes
Himantura jenkinsii,Pateobatis jenkinsii,334999,Dasyatidae,Myliobatiformes,Chondrichthyes
Himantura uarnak,Himantura uarnak,195307,Dasyatidae,Myliobatiformes,Chondrichthyes
Urolophus cruciatus,Urolophus cruciatus,334993,Urolophidae,Myliobatiformes,Chondrichthyes
Urolophus paucimaculatus,Urolophus paucimaculatus,334994,Urolophidae,Myliobatiformes,Chondrichthyes
Anoxypristis cuspidata,Anoxypristis cuspidata,195290,Pristidae,Rhinopristiformes,Chondrichthyes
Dipturus batis,Dipturus batis,420460,Rajidae,Rajiformes,Chondrichthyes
Okamejei kenojei,Okamejei kenojei,432798,Rajidae,Rajiformes,Chondrichthyes
Raja clavata,Raja clavata,7781,Rajidae,Rajiformes,Chondrichthyes
Raja montagui,Raja montagui,27588,Rajidae,Rajiformes,Chondrichthyes
Raja radula,Raja radula,223860,Rajidae,Rajiformes,Chondrichthyes
Aptychotrema rostrata,Aptychotrema rostrata,556017,Rhinobatidae,Rhinopristiformes,Chondrichthyes
Etmopterus spinax,Etmopterus spinax,648166,Etmopteridae,Squaliformes,Chondrichthyes
Squalus acanthias,Squalus acanthias,7797,Squalidae,Squaliformes,Chondrichthyes
Squalus megalops,Squalus megalops,335062,Squalidae,Squaliformes,Chondrichthyes
Squalus mitsukurii,Squalus mitsukurii,134996,Squalidae,Squaliformes,Chondrichthyes
Polypterus senegalus,Polypterus senegalus,55291,Polypteridae,Polypteriformes,Cladistia
Lamiopsis temminckii,Lamiopsis temminckii,496092,Carcharhinidae,Carcharhiniformes,Chondrichthyes
Scyliorhinus canicula,Scyliorhinus canicula,7830,Scyliorhinidae,Carcharhiniformes,Chondrichthyes
Triakis scyllium,Triakis scyllium,30494,Triakidae,Carcharhiniformes,Chondrichthyes
Isurus oxyrinchus,Isurus oxyrinchus,57983,Alopiidae,Lamniformes,Chondrichthyes
Aetobatus narinari,Aetobatus narinari,87140,Myliobatidae,Myliobatiformes,Chondrichthyes
Myliobatis australis,Myliobatis australis,334989,Myliobatidae,Myliobatiformes,Chondrichthyes
Myliobatis californica,Myliobatis californica,319543,Myliobatidae,Myliobatiformes,Chondrichthyes
Neotrygon kuhlii,Neotrygon kuhlii,651721,Dasyatidae,Myliobatiformes,Chondrichthyes
Paratrygon aiereba,Paratrygon ajereba,86369,Potamotrygonidae,Myliobatiformes,Chondrichthyes
Pastinachus sephen,Pastinachus sephen,87138,Dasyatidae,Myliobatiformes,Chondrichthyes
Potamotrygon motoro,Potamotrygon motoro,86373,Potamotrygonidae,Myliobatiformes,Chondrichthyes
Potamotrygon orbignyi,Potamotrygon orbignyi,86381,Potamotrygonidae,Myliobatiformes,Chondrichthyes
Potamotrygon schroederi,Potamotrygon schroederi,460156,Potamotrygonidae,Myliobatiformes,Chondrichthyes
Pteroplatytrygon violacea,Pteroplatytrygon violacea,651723,Dasyatidae,Myliobatiformes,Chondrichthyes
Rhinoptera bonasus,Rhinoptera bonasus,118255,Myliobatidae,Myliobatiformes,Chondrichthyes
Rhinoptera neglecta,Rhinoptera neglecta,334991,Myliobatidae,Myliobatiformes,Chondrichthyes
Rhinoptera steindachneri,Rhinoptera steindachneri,86375,Myliobatidae,Myliobatiformes,Chondrichthyes
Taeniura lymma,Taeniura lymma,86377,Potamotrygonidae,Myliobatiformes,Chondrichthyes
Taeniura meyeni,Taeniura meyeni,651724,Potamotrygonidae,Myliobatiformes,Chondrichthyes
Chiloscyllium punctatum,Chiloscyllium punctatum,137246,Hemiscylliidae,Orectolobiformes,Chondrichthyes
Ginglymostoma cirratum,Ginglymostoma cirratum,7801,Ginglymostomatidae,Orectolobiformes,Chondrichthyes
Orectolobus japonicus,Orectolobus japonicus,582428,Orectolobidae,Orectolobiformes,Chondrichthyes
Stegostoma fasciatum,Stegostoma fasciatum,378071,Stegostomatidae,Orectolobiformes,Chondrichthyes
Pristiophorus nudipinnis,Pristiophorus nudipinnis,212738,Pristiophoridae,NA,Chondrichthyes
Amblyraja radiata,Amblyraja radiata,386614,Rajidae,Rajiformes,Chondrichthyes
Leucoraja erinacea,Leucoraja erinacea,7782,Rajidae,Rajiformes,Chondrichthyes
Leucoraja naevus,Leucoraja naevus,223888,Rajidae,Rajiformes,Chondrichthyes
Leucoraja ocellata,Leucoraja ocellata,173042,Rajidae,Rajiformes,Chondrichthyes
Rhynchobatus djiddensis,Rhynchobatus djiddensis,195333,Rhynchobatidae,Rhinopristiformes,Chondrichthyes
Aptychotrema vincentiana,Aptychotrema vincentiana,495829,Rhinobatidae,Rhinopristiformes,Chondrichthyes
Glaucostegus typus,Glaucostegus typus,337882,Glaucostegidae,Rhinopristiformes,Chondrichthyes
Trygonorrhina fasciata,Trygonorrhina fasciata,337883,Rhinobatidae,Rhinopristiformes,Chondrichthyes
Dalatias licha,Dalatias licha,170817,Dalatiidae,Squaliformes,Chondrichthyes
Proscymnodon plunketi,Proscymnodon plunketi,556024,Somniosidae,Squaliformes,Chondrichthyes
Callorhinchus milii,Callorhinchus milii,7868,Callorhinchidae,Chimaeriformes,Chondrichthyes
Hydrolagus colliei,Hydrolagus colliei,7873,Chimaeridae,Chimaeriformes,Chondrichthyes
Entosphenus tridentatus,Entosphenus tridentatus,245074,Petromyzontidae,Petromyzontiformes,Hyperoartia
Lampetra fluviatilis,Lampetra fluviatilis,7748,Petromyzontidae,Petromyzontiformes,Hyperoartia
Lampetra richardsoni,Lampetra richardsoni,104635,Petromyzontidae,Petromyzontiformes,Hyperoartia
Rhina ancylostoma,Rhina ancylostoma,195328,Rhinidae,Rhinopristiformes,Chondrichthyes
Sciades guatemalensis,Sciades guatemalensis,419344,Ariidae,Siluriformes,Actinopteri
Querula purpurata,Querula purpurata,114379,Cotingidae,Passeriformes,Dipnotetrapodomorpha
Porcula salvania,Porcula salvania,476284,Suidae,Artiodactyla,Dipnotetrapodomorpha
Macroglossus minimus,Macroglossus minimus,29076,Pteropodidae,Chiroptera,Dipnotetrapodomorpha
Acinonyx jubatus,Acinonyx jubatus,32536,Felidae,Carnivora,Dipnotetrapodomorpha
Ailuropoda melanoleuca,Ailuropoda melanoleuca,9646,Ursidae,Carnivora,Dipnotetrapodomorpha
Ailurus fulgens,Ailurus fulgens,9649,Ailuridae,Carnivora,Dipnotetrapodomorpha
Arctictis binturong,Arctictis binturong,94180,Viverridae,Carnivora,Dipnotetrapodomorpha
Arctocephalus australis,Arctocephalus australis,161928,Otariidae,Carnivora,Dipnotetrapodomorpha
Arctocephalus forsteri,Arctocephalus forsteri,29084,Otariidae,Carnivora,Dipnotetrapodomorpha
Arctocephalus galapagoensis,Arctocephalus galapagoensis,30584,Otariidae,Carnivora,Dipnotetrapodomorpha
Arctocephalus gazella,Arctocephalus gazella,37190,Otariidae,Carnivora,Dipnotetrapodomorpha
Arctocephalus philippii,Arctocephalus philippii,161927,Otariidae,Carnivora,Dipnotetrapodomorpha
Arctocephalus pusillus,Arctocephalus pusillus,37191,Otariidae,Carnivora,Dipnotetrapodomorpha
Arctocephalus tropicalis,Arctocephalus tropicalis,37194,Otariidae,Carnivora,Dipnotetrapodomorpha
Atilax paludinosus,Atilax paludinosus,210642,Herpestidae,Carnivora,Dipnotetrapodomorpha
Bassaricyon gabbii,Bassaricyon gabbii,48422,Procyonidae,Carnivora,Dipnotetrapodomorpha
Bassariscus astutus,Bassariscus astutus,55047,Procyonidae,Carnivora,Dipnotetrapodomorpha
Callorhinus ursinus,Callorhinus ursinus,34884,Otariidae,Carnivora,Dipnotetrapodomorpha
Canis adustus,Canis adustus,68723,Canidae,Carnivora,Dipnotetrapodomorpha
Canis aureus,Canis aureus,68724,Canidae,Carnivora,Dipnotetrapodomorpha
Canis latrans,Canis latrans,9614,Canidae,Carnivora,Dipnotetrapodomorpha
Canis lupus,Canis lupus,9612,Canidae,Carnivora,Dipnotetrapodomorpha
Canis lupus familiaris,Canis lupus familiaris,9615,Canidae,Carnivora,Dipnotetrapodomorpha
Canis mesomelas,Canis mesomelas,68725,Canidae,Carnivora,Dipnotetrapodomorpha
Canis simensis,Canis simensis,32534,Canidae,Carnivora,Dipnotetrapodomorpha
Caracal caracal,Caracal caracal,61394,Felidae,Carnivora,Dipnotetrapodomorpha
Catopuma temminckii,Catopuma temminckii,61455,Felidae,Carnivora,Dipnotetrapodomorpha
Cerdocyon thous,Cerdocyon thous,9620,Canidae,Carnivora,Dipnotetrapodomorpha
Chrotogale owstoni,Chrotogale owstoni,94184,Viverridae,Carnivora,Dipnotetrapodomorpha
Chrysocyon brachyurus,Chrysocyon brachyurus,68728,Canidae,Carnivora,Dipnotetrapodomorpha
Civettictis civetta,Civettictis civetta,94186,Viverridae,Carnivora,Dipnotetrapodomorpha
Conepatus chinga,Conepatus chinga,30542,Mephitidae,Carnivora,Dipnotetrapodomorpha
Conepatus leuconotus,Conepatus leuconotus,30543,Mephitidae,Carnivora,Dipnotetrapodomorpha
Crocuta crocuta,Crocuta crocuta,9678,Hyaenidae,Carnivora,Dipnotetrapodomorpha
Cryptoprocta ferox,Cryptoprocta ferox,94188,Eupleridae,Carnivora,Dipnotetrapodomorpha
Cuon alpinus,Cuon alpinus,68730,Canidae,Carnivora,Dipnotetrapodomorpha
Cynictis penicillata,Cynictis penicillata,41010,Herpestidae,Carnivora,Dipnotetrapodomorpha
Cystophora cristata,Cystophora cristata,39293,Phocidae,Carnivora,Dipnotetrapodomorpha
Dusicyon thous,Cerdocyon thous,9620,Canidae,Carnivora,Dipnotetrapodomorpha
Eira barbara,Eira barbara,204263,Mustelidae,Carnivora,Dipnotetrapodomorpha
Enhydra lutris,Enhydra lutris,34882,Mustelidae,Carnivora,Dipnotetrapodomorpha
Erignathus barbatus,Erignathus barbatus,39304,Phocidae,Carnivora,Dipnotetrapodomorpha
Eumetopias jubatus,Eumetopias jubatus,34886,Otariidae,Carnivora,Dipnotetrapodomorpha
